COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME
21,277275,0500000US06021,6021,Glenn
97,1657246,0500000US06097,6097,Sonoma
41,277285,0500000US06041,6041,Marin
17,277273,0500000US06017,6017,El Dorado
23,1681908,0500000US06023,6023,Humboldt
93,277311,0500000US06093,6093,Siskiyou
115,277322,0500000US06115,6115,Yuba
33,277281,0500000US06033,6033,Lake
49,277289,0500000US06049,6049,Modoc
63,277296,0500000US06063,6063,Plumas
103,1692767,0500000US06103,6103,Tehama
57,1682927,0500000US06057,6057,Nevada
113,277321,0500000US06113,6113,Yolo
89,1682610,0500000US06089,6089,Shasta
67,277298,0500000US06067,6067,Sacramento
105,277317,0500000US06105,6105,Trinity
45,277287,0500000US06045,6045,Mendocino
11,1675902,0500000US06011,6011,Colusa
15,1682074,0500000US06015,6015,Del Norte
95,277312,0500000US06095,6095,Solano
35,1693324,0500000US06035,6035,Lassen
61,277295,0500000US06061,6061,Placer
7,1675842,0500000US06007,6007,Butte
5,1675841,0500000US06005,6005,Amador
91,277310,0500000US06091,6091,Sierra
101,277315,0500000US06101,6101,Sutter
55,277292,0500000US06055,6055,Napa